,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL230616C00060000,2021-05-28 1:52PM EDT,60.0,65.81,65.1,65.65,-0.29,-0.44%,21,2172,34.96%
1,AAPL230616C00065000,2021-06-01 11:23AM EDT,65.0,60.75,60.5,61.0,-0.75,-1.22%,10,1601,33.50%
2,AAPL230616C00070000,2021-06-01 11:07AM EDT,70.0,56.43,56.0,56.55,-1.07,-1.86%,6,287,32.68%
3,AAPL230616C00075000,2021-06-01 1:58PM EDT,75.0,52.2,51.65,52.2,-0.6,-1.14%,13,443,31.85%
4,AAPL230616C00080000,2021-06-01 2:08PM EDT,80.0,48.08,47.45,48.0,-0.32,-0.66%,30,651,31.14%
5,AAPL230616C00085000,2021-06-01 3:45PM EDT,85.0,43.65,43.5,43.95,-0.75,-1.69%,19,351,30.48%
6,AAPL230616C00090000,2021-06-01 12:41PM EDT,90.0,40.25,39.55,40.1,-0.44,-1.08%,13,515,29.93%
7,AAPL230616C00095000,2021-06-01 12:01PM EDT,95.0,36.67,36.1,36.5,-0.24,-0.65%,11,158,29.56%
8,AAPL230616C00100000,2021-06-01 3:46PM EDT,100.0,33.0,32.6,33.15,-0.5,-1.49%,84,2604,29.30%
9,AAPL230616C00105000,2021-06-01 3:33PM EDT,105.0,30.03,29.65,30.0,-0.37,-1.22%,19,562,29.04%
10,AAPL230616C00110000,2021-06-01 3:33PM EDT,110.0,27.1,26.65,27.2,-0.3,-1.09%,51,1755,29.01%
11,AAPL230616C00115000,2021-06-01 1:35PM EDT,115.0,24.55,24.1,24.6,-0.35,-1.41%,6,694,28.96%
12,AAPL230616C00120000,2021-06-01 3:55PM EDT,120.0,21.8,21.8,22.25,-0.9,-3.96%,1112,3427,28.98%
13,AAPL230616C00125000,2021-06-01 3:57PM EDT,125.0,19.75,19.65,19.9,-0.6,-2.95%,138,1906,28.70%
14,AAPL230616C00130000,2021-06-01 3:59PM EDT,130.0,17.7,17.65,18.05,-0.7,-3.80%,156,3708,28.88%
15,AAPL230616C00135000,2021-06-01 3:37PM EDT,135.0,15.5,15.85,16.2,-1.0,-6.06%,64,4073,28.80%
16,AAPL230616C00140000,2021-06-01 3:16PM EDT,140.0,14.55,14.2,14.55,-0.2,-1.36%,69,2709,28.77%
17,AAPL230616C00145000,2021-06-01 3:17PM EDT,145.0,13.0,12.7,13.05,-0.42,-3.13%,62,997,28.74%
18,AAPL230616C00150000,2021-06-01 3:40PM EDT,150.0,11.65,11.35,11.65,-0.45,-3.72%,278,4274,28.64%
19,AAPL230616C00155000,2021-05-28 3:31PM EDT,155.0,10.65,10.2,10.55,-0.25,-2.29%,6,357,28.80%
20,AAPL230616C00160000,2021-06-01 1:01PM EDT,160.0,9.4,9.25,9.45,-0.3,-3.09%,834,4350,28.78%
21,AAPL230616C00165000,2021-06-01 2:13PM EDT,165.0,8.55,8.2,8.55,-0.35,-3.93%,40,1511,28.90%
22,AAPL230616C00170000,2021-06-01 12:11PM EDT,170.0,7.55,7.5,7.7,-0.43,-5.39%,34,2955,28.96%
23,AAPL230616C00175000,2021-06-01 3:52PM EDT,175.0,6.8,6.6,6.95,-0.34,-4.76%,22,983,29.04%
24,AAPL230616C00180000,2021-06-01 2:54PM EDT,180.0,6.35,5.95,6.3,-0.2,-3.05%,33,11130,29.15%
25,AAPL230616C00185000,2021-06-01 1:36PM EDT,185.0,5.69,5.4,5.75,-0.11,-1.90%,14,798,29.33%
26,AAPL230616C00190000,2021-06-01 1:36PM EDT,190.0,5.14,5.0,5.25,-0.31,-5.69%,8,728,29.50%
27,AAPL230616C00195000,2021-06-01 12:34PM EDT,195.0,4.7,4.45,4.8,-0.25,-5.05%,31,34384,29.66%
28,AAPL230616C00200000,2021-06-01 3:53PM EDT,200.0,4.1,4.05,4.4,-0.41,-9.09%,150,2035,29.83%
29,AAPL230616C00210000,2021-06-01 1:20PM EDT,210.0,3.59,3.4,3.75,-0.21,-5.53%,21,506,30.25%
30,AAPL230616C00220000,2021-06-01 9:33AM EDT,220.0,3.1,2.86,3.2,-0.26,-7.74%,10,135,30.61%
31,AAPL230616C00230000,2021-06-01 2:25PM EDT,230.0,2.6,2.55,2.77,-0.18,-6.47%,7,1684,31.02%
32,AAPL230616C00240000,2021-06-01 10:24AM EDT,240.0,2.38,2.15,2.44,-0.03,-1.24%,6,1503,31.51%
33,AAPL230616C00250000,2021-06-01 2:29PM EDT,250.0,2.08,1.98,2.16,-0.02,-0.95%,45,1281,31.96%
34,AAPL230616C00260000,2021-06-01 3:14PM EDT,260.0,1.98,1.76,1.94,0.03,+1.54%,222,1396,32.47%
0,AAPL230616P00060000,2021-06-01 10:33AM EDT,60.0,1.46,1.43,1.51,-0.11,-7.01%,8,846,35.86%
1,AAPL230616P00065000,2021-06-01 10:33AM EDT,65.0,1.86,1.72,1.9,-0.11,-5.58%,8,359,34.45%
2,AAPL230616P00070000,2021-05-28 3:42PM EDT,70.0,2.4,2.18,2.4,0.0,-,10,257,33.27%
3,AAPL230616P00075000,2021-06-01 2:04PM EDT,75.0,2.9,2.78,3.05,-0.1,-3.33%,1,537,32.35%
4,AAPL230616P00080000,2021-06-01 2:04PM EDT,80.0,3.69,3.5,3.75,-0.2,-5.14%,23,446,31.28%
5,AAPL230616P00085000,2021-06-01 1:19PM EDT,85.0,4.6,4.4,4.7,-0.07,-1.50%,3,137,30.59%
6,AAPL230616P00090000,2021-06-01 10:49AM EDT,90.0,5.95,5.55,5.85,0.05,+0.85%,1000,2577,30.04%
7,AAPL230616P00095000,2021-06-01 11:20AM EDT,95.0,7.2,6.85,7.2,-0.03,-0.41%,3,2495,29.56%
8,AAPL230616P00100000,2021-06-01 2:56PM EDT,100.0,8.5,8.45,8.8,-0.3,-3.41%,417,6713,29.21%
9,AAPL230616P00105000,2021-06-01 2:51PM EDT,105.0,10.44,10.3,10.6,-0.21,-1.97%,8,2528,28.87%
10,AAPL230616P00110000,2021-06-01 11:13AM EDT,110.0,12.75,12.4,12.75,-0.05,-0.39%,1,10993,28.78%
11,AAPL230616P00115000,2021-06-01 1:34PM EDT,115.0,14.91,14.8,15.15,-0.04,-0.27%,1,1666,28.74%
12,AAPL230616P00120000,2021-06-01 3:56PM EDT,120.0,17.5,17.4,17.6,-0.01,-0.06%,1344,4704,28.47%
13,AAPL230616P00125000,2021-06-01 2:15PM EDT,125.0,20.06,20.15,20.5,-0.39,-1.91%,1012,1036,28.57%
14,AAPL230616P00130000,2021-06-01 3:50PM EDT,130.0,23.1,23.05,23.5,0.0,-,22,552,28.53%
15,AAPL230616P00135000,2021-05-28 1:48PM EDT,135.0,26.35,26.15,26.6,0.0,-,1,395,28.39%
16,AAPL230616P00140000,2021-05-28 9:48AM EDT,140.0,29.5,29.45,29.95,0.0,-,10,494,28.36%
17,AAPL230616P00145000,2021-05-27 9:39AM EDT,145.0,32.04,32.9,33.45,0.0,-,10,293,28.32%
18,AAPL230616P00150000,2021-05-26 10:15AM EDT,150.0,36.8,36.55,37.05,0.8,+2.22%,9,2681,28.22%
19,AAPL230616P00155000,2021-05-11 2:59PM EDT,155.0,40.83,40.3,40.85,0.0,-,4,24,28.22%
20,AAPL230616P00160000,2021-05-19 10:16AM EDT,160.0,46.0,44.2,44.75,0.0,-,2,15,28.18%
21,AAPL230616P00165000,2021-05-27 3:50PM EDT,165.0,47.8,48.2,48.75,0.0,-,1,8,28.13%
22,AAPL230616P00170000,2021-04-27 12:52PM EDT,170.0,47.7,51.95,52.35,0.0,-,1,64,27.23%
23,AAPL230616P00175000,2021-04-29 10:00AM EDT,175.0,52.1,54.0,59.0,0.0,-,25,119,31.31%
24,AAPL230616P00180000,2021-05-17 3:39PM EDT,180.0,60.93,60.85,61.4,0.0,-,154,9559,28.10%
25,AAPL230616P00185000,2021-05-03 9:50AM EDT,185.0,60.26,65.25,65.8,0.0,-,2,182,28.14%
26,AAPL230616P00190000,2021-05-18 2:26PM EDT,190.0,68.95,69.7,70.25,0.0,-,1,120,28.14%
27,AAPL230616P00195000,2021-05-24 12:18PM EDT,195.0,72.34,74.25,74.8,0.0,-,1,33779,28.24%
28,AAPL230616P00200000,2021-05-28 3:22PM EDT,200.0,78.67,78.8,79.35,0.0,-,3,21,28.23%
29,AAPL230616P00210000,2021-05-28 3:22PM EDT,210.0,87.9,88.1,88.65,0.0,-,3,15,28.36%
30,AAPL230616P00220000,2021-05-12 3:48PM EDT,220.0,99.5,97.5,98.1,0.0,-,4,0,28.51%
31,AAPL230616P00230000,2021-05-12 3:45PM EDT,230.0,109.09,107.1,107.65,0.0,-,2,0,28.63%
32,AAPL230616P00240000,2021-05-10 3:35PM EDT,240.0,115.02,116.75,117.3,0.0,-,5,94,28.80%
33,AAPL230616P00250000,2021-06-01 9:41AM EDT,250.0,126.05,126.45,127.0,1.37,+1.10%,1,31,28.88%
34,AAPL230616P00260000,2021-05-28 3:52PM EDT,260.0,135.8,136.2,136.85,0.0,-,5,35,29.41%
