Date,Mkt-RF,SMB,HML,RF
192607,2.96,-2.3,-2.87,0.22
192608,2.64,-1.4,4.19,0.25
192609,0.36,-1.32,0.01,0.23
192610,-3.24,0.04,0.51,0.32
192611,2.53,-0.2,-0.35,0.31
192612,2.62,-0.04,-0.02,0.28
192701,-0.06,-0.56,4.83,0.25
192702,4.18,-0.1,3.17,0.26
192703,0.13,-1.6,-2.67,0.3
192704,0.46,0.43,0.6,0.25
192705,5.44,1.41,4.93,0.3
192706,-2.34,0.47,-1.53,0.26
192707,7.26,-3.23,-1.16,0.3
192708,1.97,-0.72,-3.69,0.28
192709,4.76,-3.57,-0.71,0.21
192710,-4.31,2.13,-4.33,0.25
192711,6.58,2.76,-0.31,0.21
192712,2.09,0.93,-1.06,0.22
192801,-0.68,4.25,-0.72,0.25
192802,-1.7,-2.03,-0.69,0.33
192803,8.81,-0.26,-1.2,0.29
192804,4.23,3.82,3.67,0.22
192805,1.52,2.98,-3.46,0.32
192806,-4.85,-3.5,-0.06,0.31
192807,0.62,-1.35,-0.47,0.32
192808,6.68,-2.07,-2.11,0.32
192809,2.88,2.33,0.99,0.27
192810,1.33,2.27,-2.26,0.41
192811,11.81,-1.81,2.8,0.38
192812,0.36,-0.85,-0.6,0.06
192901,4.66,-3.54,-1.21,0.34
192902,-0.34,-0.39,1.68,0.36
192903,-0.89,-4.74,1.61,0.34
192904,1.43,-1,0.6,0.36
192905,-6.39,-5.35,-1.4,0.44
192906,9.7,-2.17,-2.76,0.52
192907,4.46,-3.88,2.66,0.33
192908,8.18,-9.52,0.06,0.4
192909,-5.47,1.17,-0.63,0.35
192910,-20.12,-4.08,7.85,0.46
192911,-12.74,-1.9,5.33,0.37
192912,1.33,-4.33,-0.59,0.37
193001,5.61,3.54,-1.01,0.14
193002,2.5,0.13,0.39,0.3
193003,7.1,3.43,0.15,0.35
193004,-2.06,-0.2,-0.84,0.21
193005,-1.66,-2.04,-0.63,0.26
193006,-16.27,-3.24,2,0.27
193007,4.12,-0.37,-1.56,0.2
193008,0.3,-2.22,-0.78,0.09
193009,-12.75,-2.22,-5.27,0.22
193010,-8.78,-0.1,-1.35,0.09
193011,-3.04,2.21,-3.53,0.13
193012,-7.83,-4.67,-5.4,0.14
193101,6.24,3.77,7.16,0.15
193102,10.88,3.38,1.61,0.04
193103,-6.43,3.07,-3.66,0.13
193104,-9.98,-4.62,-3.94,0.08
193105,-13.24,5.17,-6.58,0.09
193106,13.9,-5.38,11.31,0.08
193107,-6.62,1.43,-2.1,0.06
193108,0.41,-1.97,-1.49,0.03
193109,-29.13,0.56,-6.75,0.03
193110,8.04,-1.87,1.7,0.1
193111,-9.08,4.3,-5.05,0.17
193112,-13.53,-0.56,-8.86,0.12
193201,-1.58,3.94,9.04,0.23
193202,5.46,-2.77,-1.45,0.23
193203,-11.21,2.27,-2.32,0.16
193204,-17.96,1.44,1.42,0.11
193205,-20.51,3.91,-2.99,0.06
193206,-0.7,0.34,5.3,0.02
193207,33.84,-4.44,35.46,0.03
193208,37.06,14.29,33.03,0.03
193209,-2.94,-2.44,-6.82,0.03
193210,-13.17,-2.76,-10.05,0.02
193211,-5.88,2.08,-13.28,0.02
193212,4.4,-8.27,-8.17,0.01
193301,1.25,0.69,6.23,0.01
193302,-15.24,-2.75,-2.73,-0.03
193303,3.29,3.9,7.38,0.04
193304,38.85,4.56,17.43,0.1
193305,21.43,36.7,19.03,0.04
193306,13.11,8.56,-2.05,0.02
193307,-9.63,-1.01,3.27,0.02
193308,12.05,-5.45,2.96,0.03
193309,-10.65,-0.32,-11.77,0.02
193310,-8.36,-0.08,-8.46,0.01
193311,9.97,-6.48,2.33,0.02
193312,1.83,0.66,-1.53,0.02
193401,12.6,12.53,15.54,0.05
193402,-2.5,5.19,2.12,0.02
193403,0.09,2.51,-2.73,0.02
193404,-1.79,2.8,-3.75,0.01
193405,-7.25,-0.26,-5.91,0.01
193406,2.64,-2.14,-2.92,0.01
193407,-10.96,-6.92,-10.64,0.01
193408,5.58,5.39,0.45,0.01
193409,-0.23,-1.5,-1.22,0.01
193410,-1.66,1.25,-5.11,0.01
193411,8.33,6.5,-2.24,0.01
193412,0.36,3.06,-3.2,0.01
193501,-3.45,1.1,-1.86,0.01
193502,-1.94,0.41,-7.27,0.02
193503,-3.68,-3.57,-5.1,0.01
193504,9.06,-1.51,4.35,0.01
193505,3.47,-3.38,2.56,0.01
193506,5.93,-2.51,-1.65,0.01
193507,7.51,1.47,6.86,0.01
193508,2.65,6.28,5.7,0.01
193509,2.63,1.57,-4.05,0.01
193510,7.03,2.64,-2.33,0.01
193511,4.88,4.28,11.91,0.02
193512,4.56,0.23,1.07,0.01
193601,6.89,5.14,10.51,0.01
193602,2.49,1.14,5.04,0.01
193603,0.99,0.65,-1.66,0.02
193604,-8.14,-6.04,-2.08,0.02
193605,5.19,0.83,2.63,0.02
193606,2.4,-3.26,-1.2,0.03
193607,6.67,1.14,2.56,0.01
193608,0.99,0.72,3.99,0.02
193609,0.98,3.07,0.88,0.01
193610,7.12,-2.39,2.52,0.02
193611,3.27,9.01,-0.92,0.01
193612,0.21,3.61,3.96,0
193701,3.35,4.31,2.61,0.01
193702,1.09,1.23,5.05,0.02
193703,-0.27,-1.78,6.39,0.01
193704,-7.36,-3.77,-3.61,0.03
193705,-0.83,-0.66,-3.49,0.06
193706,-4.21,-3.65,-3.21,0.03
193707,8.91,0.85,0.82,0.03
193708,-4.86,0.42,-2.25,0.02
193709,-13.61,-6.89,-4.57,0.04
193710,-9.61,0.45,-1.62,0.02
193711,-8.31,-3.65,0.2,0.02
193712,-4.24,-7.76,-0.39,0
193801,0.49,4.97,-1.6,0
193802,5.84,0.35,-2.02,0
193803,-23.82,-4.24,-3.52,-0.01
193804,14.51,6.37,0.18,0.01
193805,-3.83,-2.47,-0.28,0
193806,23.87,4.05,0.3,0
193807,7.34,6.66,2.18,-0.01
193808,-2.67,-2.44,-4.72,0
193809,0.81,-2.72,-1.62,0.02
193810,7.8,5.83,5.01,0.01
193811,-1.72,-2.56,-1.23,-0.06
193812,4.19,-1.8,0.5,0
193901,-5.96,-1.56,-3.92,-0.01
193902,3.51,0.63,2.95,0.01
193903,-11.99,-4.76,-8.29,-0.01
193904,-0.18,1.66,-0.3,0
193905,6.8,2.81,0.47,0.01
193906,-5.31,-1.02,-5.41,0.01
193907,10.24,4.32,-0.03,0
193908,-6.68,-4.61,-2.42,-0.01
193909,16.88,20.23,22.22,0.01
193910,-0.53,-0.01,-4.89,0
193911,-3.62,-5.07,-6.46,0
193912,3.03,0.79,-4.06,0
194001,-2.41,0.24,-0.77,0
194002,1.44,2.51,-0.32,0
194003,2.05,1.25,-1.27,0
194004,0.22,3.92,-0.13,0
194005,-21.95,-6.66,-3.69,-0.02
194006,6.67,-2.13,4.63,0
194007,3.16,1.01,-0.74,0.01
194008,2.19,-0.11,0.56,-0.01
194009,2.39,3.22,-1.13,0
194010,3.02,0.28,4.64,0
194011,-1.61,1.94,0.12,0
194012,0.69,-2.15,-0.89,0
194101,-4.17,1,3.83,-0.01
194102,-1.43,-1.57,0.89,-0.01
194103,0.84,0.1,3.04,0.01
194104,-5.46,-1.69,3.41,-0.01
194105,1.39,-0.66,0.6,0
194106,5.83,1.32,0.59,0
194107,5.87,5.7,7.25,0.03
194108,-0.17,-0.41,-1.1,0.01
194109,-0.87,-0.99,-0.28,0.01
194110,-5.25,-2.02,1.63,0
194111,-1.92,-1.21,-0.64,0
194112,-4.87,-2.98,-5.94,0.01
194201,0.79,7.52,10.1,0.02
194202,-2.46,1.72,-1.13,0.01
194203,-6.58,1.78,-0.62,0.01
194204,-4.37,-0.6,2.09,0.01
194205,5.94,-3.05,-2.65,0.03
194206,2.69,-1.22,0.54,0.02
194207,3.51,-0.16,2.4,0.03
194208,1.8,-0.09,1.33,0.03
194209,2.61,0.66,2.39,0.03
194210,6.82,1.82,6.47,0.03
194211,0.15,-1.54,-4.24,0.03
194212,5.12,-2.49,0.56,0.03
194301,7.13,8.78,8.23,0.03
194302,6.15,4.84,6.51,0.03
194303,6.01,5.03,5.48,0.03
194304,0.81,2.06,5.86,0.03
194305,5.74,4.41,3.28,0.03
194306,1.82,-1.06,-0.74,0.03
194307,-4.77,-2.41,-2.27,0.03
194308,1.3,-0.62,-0.47,0.03
194309,2.4,1.28,1.43,0.03
194310,-1.15,0.58,1.65,0.03
194311,-5.91,-1.64,-4.04,0.03
194312,6.36,3.34,3.22,0.03
194401,1.74,2.56,2.17,0.03
194402,0.37,-0.1,0.83,0.03
194403,2.46,1.71,3.43,0.02
194404,-1.69,-1.35,-1.13,0.03
194405,5.07,1.67,1.02,0.03
194406,5.49,4.04,1.82,0.03
194407,-1.49,0.55,-0.43,0.03
194408,1.57,2.41,-1.63,0.03
194409,0.01,0.47,-1.21,0.02
194410,0.16,-0.14,-0.34,0.03
194411,1.71,0.37,2.31,0.03
194412,4.03,2.24,5.91,0.02
194501,2.01,2.44,0.71,0.03
194502,6.23,1.56,4.4,0.02
194503,-3.89,-1.61,-1.78,0.02
194504,7.8,0.32,3.21,0.03
194505,1.73,1.51,0.35,0.03
194506,0.39,3.1,4.32,0.02
194507,-2.17,-1.46,-2.71,0.03
194508,6.2,1.61,-4.4,0.03
194509,4.77,1.71,0.48,0.03
194510,3.89,2.46,2.25,0.03
194511,5.39,4.16,4.34,0.02
194512,1.2,2.12,-2.32,0.03
194601,6.24,4.02,2.21,0.03
194602,-5.83,-0.73,-1.27,0.03
194603,5.87,0.31,-0.36,0.03
194604,4.23,2.37,0.45,0.03
194605,3.93,1.46,1.09,0.03
194606,-3.89,-1.53,-0.59,0.03
194607,-2.69,-2.06,0.04,0.03
194608,-6.44,-1.78,0.6,0.03
194609,-10.17,-4.41,-1.96,0.03
194610,-1.44,0.09,3.44,0.03
194611,-0.01,-0.4,1.52,0.03
194612,4.96,0.06,-1.38,0.03
194701,1.25,2.18,-0.73,0.03
194702,-1.08,0.68,0.14,0.03
194703,-1.67,-1.61,0.61,0.03
194704,-4.8,-3.97,0.85,0.03
194705,-0.97,-3.26,0.34,0.03
194706,5.29,-0.31,-0.6,0.03
194707,4.14,1.43,2.82,0.03
194708,-1.74,0.3,0.16,0.03
194709,-0.54,1.64,1.36,0.06
194710,2.47,0.51,0.08,0.06
194711,-1.97,-1.74,1.06,0.06
194712,3,-2.48,3.69,0.08
194801,-3.93,2.49,1.38,0.07
194802,-4.38,-1.71,0.07,0.07
194803,8.07,0.13,4.49,0.09
194804,3.65,-1.66,4.1,0.08
194805,7.3,0.93,-1.23,0.08
194806,-0.1,-1.86,2.75,0.09
194807,-5.09,-0.32,0.07,0.08
194808,0.25,-1.1,0.27,0.09
194809,-2.97,-1.23,-1.79,0.04
194810,5.96,-1.5,0.56,0.04
194811,-9.3,-0.62,-4.14,0.04
194812,3.26,-2.8,-1.94,0.04
194901,0.23,1.81,1.17,0.1
194902,-2.93,-1.89,-0.91,0.09
194903,4.04,2.48,1.34,0.1
194904,-1.87,-0.89,-1.18,0.09
194905,-2.94,-0.77,-2.42,0.1
194906,0.1,-0.88,-1.76,0.1
194907,5.54,0.57,0.38,0.09
194908,2.6,0.13,-0.57,0.09
194909,3.09,1.05,0.23,0.09
194910,3.14,1.03,-0.49,0.09
194911,1.82,-0.93,-0.91,0.08
194912,5.13,2.07,1.75,0.09
195001,1.7,3.36,0.14,0.09
195002,1.48,0.04,-0.81,0.09
195003,1.26,-1.41,-2.77,0.1
195004,3.94,1.99,1.34,0.09
195005,4.31,-2.12,0.46,0.1
195006,-5.94,-2.38,-0.78,0.1
195007,1.36,0.51,13.66,0.1
195008,4.85,0.73,-1.41,0.1
195009,4.81,0.57,-1.11,0.1
195010,-0.18,-0.58,1.44,0.12
195011,2.76,-0.84,3.17,0.11
195012,5.54,1.49,7.23,0.11
195101,5.7,1.73,3.72,0.13
195102,1.41,0.09,-2.83,0.1
195103,-2.15,-0.64,-4.22,0.11
195104,4.86,-1.49,3.28,0.13
195105,-2.34,-0.01,-1.33,0.12
195106,-2.62,-1.95,-3.96,0.12
195107,6.94,-1.99,2.01,0.13
195108,4.27,0.99,-0.16,0.13
195109,0.7,1.9,0.59,0.12
195110,-2.53,-0.23,0.25,0.16
195111,0.57,-0.29,-0.06,0.11
195112,3.33,-2.25,-1.55,0.12
195201,1.45,-0.61,1.54,0.15
195202,-2.62,0.79,-0.6,0.12
195203,4.44,-2.99,2.16,0.11
195204,-4.97,0.48,-0.1,0.12
195205,3.2,-1.01,0.07,0.13
195206,3.83,-1.61,1.23,0.15
195207,0.91,-0.4,-0.33,0.15
195208,-0.76,1.15,0.07,0.15
195209,-2.03,1.12,-1.44,0.16
195210,-0.66,-1.02,-0.54,0.14
195211,5.94,-0.72,0.99,0.1
195212,2.93,-1.48,0.2,0.16
195301,-0.34,3.55,1.34,0.16
195302,-0.27,2.16,-0.09,0.14
195303,-1.43,-0.18,-0.84,0.18
195304,-2.83,0.27,1.54,0.16
195305,0.52,-0.07,0.24,0.17
195306,-1.89,-1.85,-0.51,0.18
195307,2.4,-1.05,-0.23,0.15
195308,-4.52,0.36,-3.54,0.17
195309,0.2,-0.85,-2.42,0.16
195310,4.6,-1.37,-0.2,0.13
195311,2.83,-1.3,-0.16,0.08
195312,0.03,-0.85,-2.82,0.13
195401,5.13,0.47,3.49,0.11
195402,1.67,-0.17,-0.29,0.07
195403,3.65,-0.49,-1.45,0.08
195404,4.27,-3.48,-0.37,0.09
195405,3.09,0.39,2.46,0.05
195406,1.07,0.4,-0.01,0.06
195407,4.99,1.05,4.16,0.05
195408,-2.34,2.68,-1.39,0.05
195409,6.39,-2.55,0.69,0.09
195410,-1.67,0.6,0.68,0.07
195411,9.38,-2.64,4.39,0.06
195412,5.48,2.17,5.65,0.08
195501,0.6,0.27,2.14,0.08
195502,3.02,1.56,0.59,0.09
195503,-0.16,-0.67,1.97,0.1
195504,3.11,-1.72,0.68,0.1
195505,0.93,-0.24,-0.96,0.14
195506,6.55,-4.61,1.84,0.1
195507,1.9,-1.16,0.34,0.1
195508,0.21,-0.44,0.72,0.16
195509,-0.36,0.28,-0.99,0.16
195510,-2.68,1.51,-0.16,0.18
195511,7.03,-2.2,0.32,0.17
195512,1.49,2.12,-2.29,0.18
195601,-3.03,0.4,0.94,0.22
195602,3.77,-0.98,-0.43,0.19
195603,6.64,-2.14,-0.5,0.15
195604,0.28,0.04,-0.25,0.19
195605,-5.2,1.46,-1.31,0.23
195606,3.48,-1.48,-1.13,0.2
195607,4.84,-1.67,-0.05,0.22
195608,-3.18,1.9,-0.72,0.17
195609,-5.14,1.57,1.77,0.18
195610,0.52,-0.09,-0.06,0.25
195611,0.36,-0.22,1.77,0.2
195612,3.16,-0.02,-2.16,0.24
195701,-3.58,3.37,2.82,0.27
195702,-2.06,-0.72,-0.72,0.24
195703,2.13,0.27,-0.46,0.23
195704,4.26,-1.61,-1.47,0.25
195705,3.45,-1.05,-2.1,0.26
195706,-0.74,0.55,0.03,0.24
195707,0.66,-0.77,0.42,0.3
195708,-5.11,0.05,-0.42,0.25
195709,-5.98,0.06,0.91,0.26
195710,-4.32,-2.53,-1.83,0.29
195711,2.3,0.37,-2.89,0.28
195712,-3.91,-0.98,-1.61,0.24
195801,4.66,4.38,4.19,0.28
195802,-1.52,0.68,0.37,0.12
195803,3.27,0.65,-0.96,0.09
195804,3.09,-0.65,1.64,0.08
195805,2.31,2.19,-0.25,0.11
195806,2.93,-0.19,0.4,0.03
195807,4.39,0.52,3.04,0.07
195808,1.91,1.17,0.36,0.04
195809,4.66,0.13,2.85,0.19
195810,2.53,1.11,-1.18,0.18
195811,3.01,2,-1.19,0.11
195812,5.15,-2.04,-0.01,0.22
195901,0.71,3.01,2.96,0.21
195902,0.95,1.51,1.1,0.19
195903,0.28,1.5,-0.38,0.22
195904,3.66,-0.55,-1.33,0.2
195905,1.73,-2.1,1.7,0.22
195906,-0.25,0.65,1.35,0.25
195907,3.17,-0.3,0.23,0.25
195908,-1.39,-0.76,0.45,0.19
195909,-4.8,-0.09,0.55,0.31
195910,1.28,1.45,-2.1,0.3
195911,1.6,1.24,-3.22,0.26
195912,2.45,-0.58,-0.07,0.34
196001,-6.98,2.08,2.79,0.33
196002,1.17,0.51,-1.93,0.29
196003,-1.63,-0.49,-2.94,0.35
196004,-1.71,0.32,-2.29,0.19
196005,3.12,1.22,-3.7,0.27
196006,2.08,-0.22,-0.34,0.24
196007,-2.37,-0.52,2.03,0.13
196008,3.01,0.87,-0.18,0.17
196009,-5.99,-1.11,1.65,0.16
196010,-0.71,-4.07,2.86,0.22
196011,4.69,0.37,-2.37,0.13
196012,4.71,-1.57,-0.76,0.16
196101,6.2,0.66,3.66,0.19
196102,3.57,3.92,-0.64,0.14
196103,2.89,3.28,-0.7,0.2
196104,0.29,0.05,2.15,0.17
196105,2.4,2.02,0.37,0.18
196106,-3.08,-2.49,-0.11,0.2
196107,2.83,-1.88,-0.09,0.18
196108,2.57,-1.75,-0.28,0.14
196109,-2.15,-1.06,-0.61,0.17
196110,2.57,-1.63,0.15,0.19
196111,4.45,1.26,-1.23,0.15
196112,-0.18,-0.82,1.79,0.19
196201,-3.87,1.77,5.13,0.24
196202,1.81,-1.15,0.82,0.2
196203,-0.68,0.53,-1.38,0.2
196204,-6.59,-0.71,0.03,0.22
196205,-8.65,-3.34,2.77,0.24
196206,-8.47,-0.58,2.55,0.2
196207,6.28,1.51,-3.4,0.27
196208,2.13,1.22,-1.17,0.23
196209,-5.22,-2.45,1.26,0.21
196210,-0.05,-3.97,1.3,0.25
196211,10.87,2.63,0.96,0.2
196212,1.01,-3.81,0.35,0.23
196301,4.93,3.07,2.22,0.25
196302,-2.38,0.5,2.17,0.23
196303,3.08,-2.6,2.07,0.23
196304,4.51,-1.31,0.99,0.25
196305,1.76,1.12,2.53,0.24
196306,-2,-0.29,0.75,0.23
196307,-0.39,-0.49,-0.94,0.27
196308,5.07,-1.02,1.82,0.25
196309,-1.57,-0.31,0.17,0.27
196310,2.53,-0.57,-0.04,0.29
196311,-0.85,-1.15,1.7,0.27
196312,1.83,-2.01,-0.06,0.29
196401,2.24,-0.18,1.53,0.3
196402,1.54,0.08,2.86,0.26
196403,1.41,0.94,3.37,0.31
196404,0.1,-1.32,-0.66,0.29
196405,1.42,-0.94,1.99,0.26
196406,1.27,-0.27,0.72,0.3
196407,1.74,0.26,0.73,0.3
196408,-1.44,0.11,0.07,0.28
196409,2.69,-0.53,1.72,0.28
196410,0.59,0.42,1.15,0.29
196411,0,0.6,-1.95,0.29
196412,0.03,-0.26,-2.52,0.31
196501,3.54,2.72,0.16,0.28
196502,0.44,3.5,0.16,0.3
196503,-1.34,1.81,1.05,0.36
196504,3.11,1.2,0.68,0.31
196505,-0.77,0.06,-1.63,0.31
196506,-5.51,-4.36,0.56,0.35
196507,1.43,0.87,2.18,0.31
196508,2.73,2.81,-0.96,0.33
196509,2.86,0.62,-0.09,0.31
196510,2.6,2.47,1.54,0.31
196511,-0.03,4.68,0.21,0.35
196512,1.01,2.08,1.96,0.33
196601,0.72,3.88,3.51,0.38
196602,-1.21,4.54,0.27,0.35
196603,-2.51,0.94,-2.07,0.38
196604,2.14,3.45,-0.54,0.34
196605,-5.66,-4.68,-1.57,0.41
196606,-1.44,1.02,0.5,0.38
196607,-1.63,-0.46,0.99,0.35
196608,-7.91,-3.22,0.44,0.41
196609,-1.06,-1.06,0.49,0.4
196610,3.86,-6.62,2.86,0.45
196611,1.4,4.23,-4.53,0.4
196612,0.13,1.95,-1.28,0.4
196701,8.15,8.25,2.45,0.43
196702,0.78,3.31,-2.15,0.36
196703,3.99,1.54,0.46,0.39
196704,3.89,0.63,-2.52,0.32
196705,-4.33,1.95,0.99,0.33
196706,2.41,5.95,0.95,0.27
196707,4.58,3.02,2.8,0.31
196708,-0.89,0.47,1.39,0.31
196709,3.11,3.11,-2.48,0.32
196710,-3.09,1.42,-3.38,0.39
196711,0.37,0.21,-1.7,0.36
196712,3.05,5.74,-0.45,0.33
196801,-4.06,3.88,4.79,0.4
196802,-3.75,-2.96,1.18,0.39
196803,0.2,-1.28,-0.62,0.38
196804,9.05,5.77,-1.14,0.43
196805,2.28,6.42,0.86,0.45
196806,0.69,-0.18,0.68,0.43
196807,-2.72,-1.3,5.41,0.48
196808,1.34,2.35,1.01,0.42
196809,4.03,2.76,0.33,0.43
196810,0.42,-0.48,2.85,0.44
196811,5.43,2.35,-0.9,0.42
196812,-3.94,3.43,0,0.43
196901,-1.25,-0.77,1.66,0.53
196902,-5.84,-3.9,0.86,0.46
196903,2.64,-0.26,-0.52,0.46
196904,1.46,-0.87,-0.03,0.53
196905,-0.1,-0.26,0.71,0.48
196906,-7.18,-5.39,-1.1,0.51
196907,-7,-3.2,1.22,0.53
196908,4.68,0.93,-3.83,0.5
196909,-2.98,1.18,-3.27,0.62
196910,5.06,3.84,-3.04,0.6
196911,-3.79,-2.54,-1.15,0.52
196912,-2.63,-3.65,-3,0.64
197001,-8.1,2.91,3.15,0.6
197002,5.13,-2.41,4.02,0.62
197003,-1.06,-2.32,4.09,0.57
197004,-11,-6.09,6.21,0.5
197005,-6.92,-4.54,3.43,0.53
197006,-5.79,-2.14,0.6,0.58
197007,6.93,-0.55,1.01,0.52
197008,4.49,1.53,1.02,0.53
197009,4.18,8.56,-5.63,0.54
197010,-2.28,-4.28,0.25,0.46
197011,4.6,-4.07,1.67,0.46
197012,5.72,3,0.86,0.42
197101,4.84,7.37,1.33,0.38
197102,1.41,1.86,-1.22,0.33
197103,4.13,2.5,-4.06,0.3
197104,3.15,-0.5,0.71,0.28
197105,-3.98,-1.11,-1.48,0.29
197106,-0.1,-1.43,-1.82,0.37
197107,-4.5,-1.5,0.17,0.4
197108,3.79,-0.18,2.56,0.47
197109,-0.85,0.43,-2.89,0.37
197110,-4.42,-1.8,-0.37,0.37
197111,-0.46,-2.8,-1.73,0.37
197112,8.71,3.29,-0.41,0.37
197201,2.49,6.07,1.93,0.29
197202,2.87,1.4,-2.8,0.25
197203,0.63,-0.3,-1.68,0.27
197204,0.29,0.01,0.24,0.29
197205,1.25,-2.74,-2.73,0.3
197206,-2.43,0.34,-2.6,0.29
197207,-0.8,-2.86,0.71,0.31
197208,3.26,-4.07,4.64,0.29
197209,-1.14,-2.67,0.51,0.34
197210,0.52,-2.72,1.3,0.4
197211,4.6,-1.12,4.82,0.37
197212,0.62,-1.87,-2.24,0.37
197301,-3.29,-3.47,2.67,0.44
197302,-4.85,-3.99,1.71,0.41
197303,-1.3,-2.81,2.73,0.46
197304,-5.68,-3.96,5.62,0.52
197305,-2.94,-6.13,0.25,0.51
197306,-1.57,-2.93,1.37,0.51
197307,5.05,7.97,-5.32,0.64
197308,-3.82,-2.12,1.32,0.7
197309,4.75,3.07,2.01,0.68
